,管理頁面(management_pages),商業邏輯(action_pages),關聯邏輯(relate_action),關聯模組(relate_model),使用欄位(select_column),異動欄位(modify_column),刪除記錄(delete_column)
,CNC機台管理,CncMachine::Find,,CncMachine,id,,
,,CncMachine::Import,,CncMachine,,"name
network_address
connection_number
change_stick_program_num
processing_time_method
processing_num_method
state",
,,CncMachine::list,Searchable,CncMachine,"name
state",,
,,CncMachine::update,CncMachine::Find,CncMachine,id,"name
daily_profit
remaining_material_length
network_address
connection_number
change_stick_program_num
processing_time_method
processing_num_method",
,單零件管理,Component::Customer::Create,,Component,id,,
,,Component::Customer::Create,,ComponentCustomer,,"component_id
customer_id
index
state",
,,Component::Customer::Update,,Component,id,,
,,Component::Customer::Update,,ComponentCustomer,id,"customer_id
index",ComponentCustomer
,,Component::Customer::Update,,EstimateComponent,,"component_content
component_customer_index
component_customer_content",
,,Component::Version::Create,,Component,id,,
,,Component::Version::Create,,ComponentVersion,,"index
component_id
description
state
files",
,,Component::Version::Update,,Component,id,,
,,Component::Version::Update,,ComponentVersion,id,"index
component_id
description
files
state
component_content
material_content
material_stick_contents",files
,,Component::Version::Update,,Material,id,,
,,Component::Version::Update,,MaterialStick,id,,
,,Component::Create,"FormatHelper
Component::Version::Create
Component::Customer::Create",Component,,"index
material_id
outer_diameter
length
weight
tool_consume_length
knurling_price
secondary_processing_price
hardware_tools_price
post_processing_price
other_price
description
state
keywords
material_stick_ids",
,,Component::Find,,Component,id,,
,,Component::Import,,Component,,"index
material
material_stick_ids
outer_diameter
weight
length
tool_consume_length
state
keywords",
,,Component::Import,,MaterialStick,"outer_diameter
material_id
material_type_id",,
,,Component::Import,,Material,name,,
,,Component::Import,,MaterialType,"name
material_id",,
,,Component::Import,,ComponentVersion,,"index
component_id
state",
,,Component::Import,,Customer,index,,
,,Component::Import,,ComponentCustomer,,"component_id
customer_id
index
state",
,,Component::List,Searchable,Component,"state
index
material_id
keywords",,
,,Component::List,,ComponentCustomer,name,,
,,Component::Update,"FormatHelper
Component::Find
Component::Version::Update
Component::Customer::Update",WorkOrder,component_index,component_index,
